Wall time,Step,Value
1727937587.408982,106,0.11346125602722168
1727937631.223698,119,0.08705838769674301
1727937665.565421,125,0.07248605787754059
1727937743.549479,141,0.07060587406158447
1727937745.587302,143,0.07750058174133301
1727937749.09821,146,0.0641203299164772
1727937789.820609,154,0.059632182121276855
1727937793.396805,157,0.07724091410636902
1727937877.896018,172,0.06658943742513657
1727937881.371271,175,0.08657248318195343
1727937967.288815,195,0.08424528688192368
1727938006.750137,203,0.06352885067462921
1727938012.336205,207,0.06057138368487358
1727938104.915962,227,0.0649423599243164
1727938153.604519,240,0.06571000069379807
1727938260.158699,256,0.0793900117278099
1727938264.531518,259,0.08996859937906265
1727938299.590019,268,0.08072604984045029
1727938337.950954,279,0.07250054180622101
1727938384.269324,284,0.06187761574983597
1727938388.117362,286,0.0710158720612526
1727938390.160682,287,0.06143378093838692
1727938431.440327,291,0.06801252067089081
1727938493.761147,308,0.055746305733919144
1727938590.597656,324,0.04806269332766533
1727938601.739063,330,0.08131345361471176
1727938652.255563,335,0.06721623986959457
1727938708.174053,350,0.06729024648666382
1727938733.133587,356,0.05445796251296997
1727938756.122883,361,0.05229257419705391
1727938764.912914,368,0.07523629069328308
1727938790.832501,372,0.07041380554437637
1727938794.057577,374,0.0580253005027771
1727938863.728706,393,0.051617465913295746
1727938913.977581,409,0.06264965236186981
1727938939.414166,411,0.0574038028717041
1727938954.591862,419,0.061159003525972366
1727939020.85393,431,0.06885845214128494
1727939040.258452,440,0.05850166082382202
1727939079.391583,448,0.071080781519413
1727939157.145236,464,0.05718094855546951
1727939165.997926,468,0.07247453927993774
1727939413.487955,522,0.060508567839860916
1727939415.920046,523,0.06947048008441925
1727939483.489717,540,0.07351263612508774
1727939514.585802,543,0.06092125177383423
1727939522.785347,546,0.06974954903125763
1727939604.880245,561,0.06436581909656525
1727939612.618018,564,0.054007552564144135
1727939615.104788,565,0.05653864145278931
1727939662.056425,575,0.06463566422462463
1727939747.962925,592,0.07270216196775436
1727939753.334996,594,0.05407888814806938
1727939850.341856,615,0.0488545298576355
1727939858.549119,618,0.05227508395910263
1727939938.25421,632,0.07307270914316177
1727939952.399047,637,0.0631863996386528
1727940004.014051,648,0.05215822905302048
1727940055.565931,658,0.07251070439815521
1727940092.524383,664,0.05719228461384773
1727940145.927892,674,0.06358069181442261
1727940165.208548,680,0.07863746583461761
1727940193.52119,682,0.05717114731669426
1727940209.039067,687,0.0765233188867569
1727940212.049114,688,0.06465232372283936
1727940302.409711,703,0.06235699728131294
1727940400.861955,721,0.08353012800216675
1727940407.174296,723,0.07080349326133728
1727940466.569311,735,0.0700208842754364
1727940508.867978,742,0.06975723057985306
1727940512.215063,743,0.06899694353342056
1727940519.054881,745,0.06730698049068451
1727940528.736506,748,0.08578668534755707
1727940535.352342,750,0.06865441799163818
1727940614.895362,762,0.08086742460727692
1727940669.468315,772,0.06387747824192047
1727940726.553381,784,0.06262635439634323
1727940742.516048,789,0.07357295602560043
1727940888.221121,815,0.07844589650630951
1727940902.226034,819,0.08096573501825333
1727940938.077513,823,0.07064232975244522
1727940941.479906,824,0.061133068054914474
1727940985.06805,831,0.08067286014556885
1727941015.767284,840,0.08921471238136292
1727941048.85799,844,0.10843698680400848
1727941062.400359,848,0.07038463652133942
1727941100.193282,853,0.08956087380647659
1727941113.952462,857,0.08490239828824997
1727941165.028409,866,0.0782000944018364
1727941179.335978,870,0.07296206057071686
1727941202.219624,871,0.0654267743229866
1727941205.614906,872,0.10047650337219238
1727941212.427252,874,0.066472128033638
1727941255.584589,881,0.06534676998853683
1727941273.262834,886,0.08207712322473526
1727941280.611649,888,0.07374396175146103
1727941316.187848,893,0.08321422338485718
1727941323.659384,895,0.07082171738147736
1727941338.547758,899,0.0788896456360817
1727941368.618489,903,0.07498588413000107
1727941388.894396,909,0.06195443123579025
1727941392.728159,910,0.10172045230865479
1727941527.445287,933,0.050367288291454315
1727941542.327808,937,0.1043768897652626
1727941716.094268,970,0.10182412713766098
1727941747.432664,975,0.07548222690820694
1727941753.023163,977,0.07037386298179626
1727941792.089066,983,0.07576549053192139
1727941865.907854,997,0.1090499609708786
1727941898.115027,1001,0.0982721671462059
1727941925.164061,1008,0.1053968220949173
