,river,creek,wwtp,setting,controlled
01_25_2007_13,490.5015461315518,7.549388287622762,15284.65026958428,75.8985703081139,521.819723282071
02_04_2007_10,36.03532425318381,0.0,11408.019555178642,37.54435718278957,250.76746038950384
02_08_2007_07,4729.023745442735,14.47016232768178,11914.568591451167,80.6741664294611,599.1500958900336
02_10_2007_02,578.7507235043065,0.005850169616068115,14580.584923918537,45.02340689775892,224.86110405637982
02_21_2007_13,58.847786087542545,0.0,15513.93002003337,42.936465698689716,225.58743121176698
02_24_2007_17,26.48174498543103,0.0,12175.015574685413,34.93900988433835,188.33981894477515
02_28_2007_12,1279.965423667754,0.0,14403.819342809333,62.6345870889951,486.1519987307335
03_19_2007_14,0.0,0.0,18732.0007542818,10.554759630652095,84.05635828114785
04_04_2007_12,5213.265967526693,1801.0470939718193,5584.257902632866,51.96568009755219,334.52398399713434
04_05_2007_09,162.3945101426182,0.0,10911.969054548941,58.199661930756164,403.7483022654035
04_10_2007_02,42.86010378689467,0.0,9730.74520736374,45.66132115551739,228.06923899006074
04_27_2007_11,0.0,0.0,18915.87801845482,13.637989223336596,95.90288356026522
04_29_2007_02,115.86319818424363,0.0,11197.614761423236,63.32819717924947,336.34123782418243
05_10_2007_22,310.9226699916292,0.0,11251.606235968085,53.043923149415726,283.85501488490263
05_22_2007_05,6940.853439389863,439.618556926779,11673.55348370102,62.54558031609723,453.05324423152797
06_12_2007_23,28.197151570833945,0.0,6726.055616244754,46.95055712538175,213.74136225320012
07_18_2007_12,6328.047099884248,2077.310043361241,4740.3230130028605,41.930436027009506,339.2740088542621
07_23_2007_19,598.8685204955203,0.0,11576.291550381151,46.80840367887353,342.3338272492159
07_25_2007_01,5728.065870039059,475.45752101804675,9393.570345329823,67.02860419868236,465.2719014517054
07_27_2007_22,0.0,0.0,7100.6034053498925,26.134945330388756,91.7137022263034
07_31_2007_00,5683.0724903410155,9.064318760334274,18966.04806181539,98.1120288906126,597.0568745021632
08_15_2007_13,523.6432580485503,3.4889591562450963,4976.498306104042,29.21996173941998,198.8819089673211
08_22_2007_08,101.90876061873922,0.00476017152707491,4198.899936607015,25.488244461791314,176.37855362841935
08_22_2007_21,1015.0686461657372,1751.0254213254398,3832.6510126923035,31.07287929546885,175.95189406758766
08_30_2007_03,191.60347722148006,0.0,11028.549573730304,74.4985890455979,363.84696519342106
08_30_2007_21,1665.903914218939,413.24224553857965,10143.306110225316,52.550176595918394,323.10761484920687
09_26_2007_12,9007.550237284042,246.92737664214184,2609.841815850811,42.02533366590655,289.5791533255323
11_12_2007_20,42.79097631268334,0.0,9657.664991977574,43.726945675775795,204.48884539433587
11_13_2007_14,3156.8263074914853,591.6265489538505,3928.0746530317238,38.79758691667099,242.2678748971956
11_16_2007_03,869.3868461028665,0.0,6950.747110291244,36.47419676654638,208.06997971765418
11_17_2007_20,897.6191785058463,0.0,13387.855735635952,92.10248211756792,527.5672055319982
11_19_2007_15,8.62821503612534,0.0,12446.558026958017,24.291414965684968,135.8969336983931
12_11_2007_21,62.59984488237005,0.0,5275.542060407139,45.19966315271774,247.3987828716424
12_13_2007_10,17.43994666127807,0.0,9479.132951563995,30.896340462620664,191.964080910311
12_17_2007_20,330.9745898662713,348.7331853176495,4013.2146603905453,33.2679356921256,216.83150491939116
12_24_2007_21,676.8574695064067,2.8054563028723627,6845.626742548382,60.47644910507394,336.2692151491599
12_27_2007_17,5557.136786005746,1105.258200915426,8026.781421959258,49.07557868491034,391.66920607380285
